date,Rishi Sunak,Boris Johnson,Penny Mordaunt
2022-10-24 10:45:57,194,,30
2022-10-24 10:27:49,193,,30
2022-10-24 10:12:29,193,,31
2022-10-24 10:00:33,191,,31
2022-10-24 09:47:34,189,,31
2022-10-24 09:30:30,187,,31
2022-10-24 09:14:17,184,,31
2022-10-24 08:56:45,183,,31
2022-10-24 08:37:05,183,,31
2022-10-24 08:18:27,181,,31
2022-10-24 08:03:56,178,,31
2022-10-24 07:49:09,173,,31
2022-10-24 07:26:34,172,,30
2022-10-24 06:32:52,168,,30
2022-10-23 22:29:35,167,,30
2022-10-23 21:54:16,166,,30
2022-10-23 21:34:03,165,,30
2022-10-23 21:21:38,164,,30
2022-10-23 21:02:53,163,,30
2022-10-23 20:58:25,162,,30
2022-10-23 20:48:53,160,,30
2022-10-23 20:36:54,159,74,29
2022-10-23 20:22:40,158,76,28
2022-10-23 19:42:18,156,76,28
2022-10-23 19:08:22,155,76,28
2022-10-23 18:43:12,154,76,28
2022-10-23 18:26:52,153,76,28
2022-10-23 14:16:18,153,76,28
2022-10-23 13:09:15,151,76,28
2022-10-23 12:25:40,150,75,28
2022-10-23 11:58:50,149,75,28
2022-10-23 11:50:59,147,75,27
2022-10-23 11:32:14,146,75,27
2022-10-23 11:20:30,144,75,27
2022-10-23 11:08:01,143,75,27
2022-10-23 10:48:01,142,75,27
2022-10-23 10:35:42,141,75,27
2022-10-23 09:47:39,139,75,27
2022-10-23 09:35:22,137,75,27
2022-10-23 08:43:59,136,75,27
2022-10-23 07:52:55,136,74,27
2022-10-23 07:43:44,131,74,27
2022-10-22 21:02:27,134,74,27
2022-10-22 20:30:45,133,74,27
2022-10-22 19:27:50,133,74,27
2022-10-22 19:15:02,132,74,27
2022-10-22 19:03:12,131,74,27
2022-10-22 18:38:50,129,74,27
2022-10-22 18:22:25,130,74,27
2022-10-22 18:08:31,130,73,27
2022-10-22 17:58:10,129,73,27
2022-10-22 17:48:09,128,73,26
2022-10-22 17:34:21,127,73,26
2022-10-22 16:46:11,125,72,26
2022-10-22 15:50:43,124,72,26
2022-10-22 15:38:30,124,72,26
2022-10-22 15:10:36,123,72,25
2022-10-22 14:45:37,122,72,25
2022-10-22 14:40:57,122,71,25
2022-10-22 14:28:39,121,71,25
2022-10-22 14:11:46,120,71,25
2022-10-22 12:50:55,120,71,25
2022-10-22 12:28:10,119,71,25
2022-10-22 12:11:59,117,71,25
2022-10-22 11:52:19,116,71,25
2022-10-22 11:33:54,115,71,25
2022-10-22 11:22:42,113,71,25
2022-10-22 10:50:07,111,71,25
2022-10-22 10:37:53,110,71,25
2022-10-22 10:09:49,108,71,25
2022-10-22 09:50:05,107,71,25
2022-10-22 09:23:45,107,70,25
2022-10-22 08:58:03,106,70,25
2022-10-22 08:27:52,106,69,25
2022-10-22 07:17:02,105,69,25
2022-10-21 21:46:44,103,69,25
2022-10-21 20:59:02,103,68,25
2022-10-21 20:50:20,101,68,25
2022-10-21 20:38:17,97,68,25
2022-10-21 20:23:47,96,68,25
2022-10-21 19:51:02,94,68,25
2022-10-21 19:41:42,95,67,25
2022-10-21 19:17:10,94,67,25
2022-10-21 18:51:42,91,67,25
2022-10-21 18:04:20,88,67,24
2022-10-21 17:53:33,88,65,24
2022-10-21 17:03:42,88,63,24
2022-10-21 16:43:36,86,63,23
2022-10-21 16:23:54,85,63,23
2022-10-21 16:08:54,82,62,24
2022-10-21 15:55:27,82,62,23
2022-10-21 15:40:40,81,62,22
2022-10-21 15:23:22,81,62,21
2022-10-21 15:08:30,78,62,21
2022-10-21 14:55:28,77,62,21
2022-10-21 14:39:23,74,62,21
2022-10-21 14:20:50,73,61,21
2022-10-21 13:56:39,72,60,21
2022-10-21 13:31:29,69,60,21
2022-10-21 13:05:00,66,59,20
2022-10-21 12:39:06,64,59,20
2022-10-21 12:19:33,62,59,20
2022-10-21 11:54:16,62,58,20
2022-10-21 11:45:28,62,57,20
2022-10-21 11:34:51,59,57,20
2022-10-21 11:09:18,58,54,20
2022-10-21 10:58:37,57,53,20
2022-10-21 10:47:41,56,52,20
2022-10-21 10:34:08,56,52,19
2022-10-21 10:17:58,54,52,19
2022-10-21 10:05:14,53,52,19
2022-10-21 09:54:30,52,52,19
2022-10-21 09:41:21,52,52,19
2022-10-21 09:25:34,51,52,19
2022-10-21 09:10:31,50,52,18
2022-10-21 08:56:44,49,52,18
2022-10-21 08:23:03,47,52,18
2022-10-21 07:57:10,47,52,17
2022-10-21 07:47:03,45,52,17
2022-10-21 07:33:34,45,51,17
2022-10-21 07:17:04,43,51,17
2022-10-21 07:02:07,42,51,17
2022-10-21 06:42:33,41,52,17
2022-10-21 06:22:55,40,52,17
2022-10-21 06:07:35,39,51,17
