https://order-order.com/backing,,,,,
,Rishi Sunak,Penny Mordaunt,Unknown,Total,% Indicated
Backers,194,30,133,224,63%
1,Crispin Blunt,Derek Thomas,,,
2,Julie Marson,Bob Seely,,,
3,Richard Holden,Maria Miller,,"Anonymous MPs: Whips, party board members,",
4,Angela Richardson,John Lamont,,Tory vice chairs and 1922 chairmen who have to ,
5,Steve Double,Damian Collins,,remain publicly neutral though have a vote. ,
6,Kevin Hollinrake,Andrea Leadsom,,Guido has verified all these names to be true.,
7,Jo Gideon,Robbie Moore,,,
8,Paul Maynard,Kieran Mullan,,Switched from Boris,
9,John Glen,Craig Tracey,,,
10,Andrew Bowie,Nicola Richards,,,
11,Anthony Mangnall,Heather Wheeler,,,
12,Simon Hart ,Elliot Colburn,,,
13,Craig Williams,James Davies,,,
14,John Stevenson,John Penrose,,,
15,Gary Streeter,Harriett Baldwin,,,
16,Andrew Murrison,Caroline Dinenage,,,
17,Dominic Raab,Caroline Ansell,,,
18,Simon Jupp,George Freeman,,,
19,Bim Afolami,Neil Hudson,,,
20,Nick Gibb,Mary Robinson,,,
21,James Cartlidge,Roger Gale,,,
22,Fay Jones,Marcus Fysh,,,
23,Alex Chalk,Tracey Crouch,,,
24,Laura Trott,Damian Green,,,
25,Maggie Throup,Luke Evans,,,
26,Simon Hoare,Michael Fabricant,,,
27,Edward Timpson,Giles Watling,,,
28,Laura Farris,Switcher,,,
29,Huw Merriman,Anon,,,
30,Robert Goodwill,Anon,,,
31,Simon Fell,,,,
32,Helen Whately,,,,
33,Victoria Prentis,,,,
34,James Morris,,,,
35,Jonathan Djangoly,,,,
36,Richard Graham,,,,
37,Anthony Browne,,,,
38,Mark Garnier,,,,
39,Mel Stride,,,,
40,Gareth Davies,,,,
41,Siobhan Baillie,,,,
42,Robin Walker,,,,
43,Robert Jenrick,,,,
44,Damian Hinds,,,,
45,Rehman Chishti ,,,,
46,Guy Opperman,,,,
47,Claire Coutinho,,,,
48,James Gray,,,,
49,Steve Brine,,,,
50,David TC Davies,,,,
51,Ruth Edwards,,,,
52,Robert Syms,,,,
53,Bob Neill,,,,
54,Simon Baynes,,,,
55,Liam Fox,,,,
56,Gavin Williamson,,,,
57,Mark Harper,,,,
58,Rob Halfon,,,,
59,George Eustice,,,,
60,Mike Wood,,,,
61,Stephen Hammond,,,,
62,Andrew Jones,,,,
63,John Baron,,,,
64,Greg Clark,,,,
65,Julian Sturdy,,,,
66,Andrew Percy,,,,
67,Nigel Mills,,,,
68,James Daly,,,,
69,Philip Davies,,,,
70,Philip Dunne,,,,
71,Iain Stewart,,,,
72,Julian Smith,,,,
73,Andrew Bridgen,,,,
74,Mark Logan,,,,
75,David Rutley,,,,
76,Andrew Mitchell,,,,
77,Chris Philp,,,,
78,Gillian Keegan,,,,
79,Sajid Javid,,,,
80,Johnny Mercer,,,,
81,James Wild,,,,
82,Lucy Frazer,,,,
83,Duncan Baker,,,,
84,Jonathan Lord,,,,
85,Jeremy Quin,,,,
86,Rebecca Pow,,,,
87,Richard Bacon,,,,
88,Jamie Wallis,,,,
89,Mark Menzies,,,,
90,Oliver Dowden,,,,
91,John Howell,,,,
92,Miriam Cates,,,,
93,Alan Mak,,,,
94,Matt Hancock,,,,
95,Tom Tugendhat,,,,
96,Tobias Ellwood,,,,
97,Martin Vickers,,,,
98,Selaine Saxby,,,,
99,Caroline Nokes,,,,
100,Robert Largan,,Threshold,,
101,David Mundell,,,,
102,David Simmonds,,,,
103,Aaron Bell,,,,
104,Paul Howell,,,,
105,Helen Grant,,,,
106,Chris Grayling,,,,
107,Fiona Bruce,,,,
108,Flick Drummond,,,,
109,Steve Barclay,,,,
110,Peter Bottomley,,,,
111,David Johnston,,,,
112,Andrew Selous,,,,
113,Sally-Ann Hart,,,,
114,Desmond Swayne,,,,
115,Michael Tomlinson,,,,
116,Oliver Heald ,,,,
117,Paul Beresford,,,,
118,Greg Hands,,,,
119,Graham Stuart,,,,
120,David Davis,,,,
121,Kemi Badenoch,,,,
122,Tom Hunt,,,,
123,Alun Cairns,,,,
124,Tim Loughton,,,,
125,Paul Holmes,,,,
126,Greg Knight,,,,
127,Daniel Poulter,,,,
128,Justin Tomlinson,,,,
129,Andrew Lewer,,,,
130,Chris Loder,,,,
131,Steve Baker,,,,
132,Jesse Norman,,,,
133,Geoffrey Cox,,,,
134,Theresa Villiers,,,,
135,Grant Shapps,,,,
136,Gagan Mohindra,,,,
137,Mark Pawsey,,,,
138,Chloe Smith,,,,
139,Peter Gibson,,,,
140,Stuart Andrew,,,,
141,Matt Vickers,,,,
142,Mike Freer,,,,
143,Will Quince,,,,
144,Michelle Donelan,,,,
145,Neil O'Brien,,,,
146,Suella Braverman,,,,
147,Nus Ghani,,,,
148,Stephen Crabb,,,,
149,James Heappey,,,,
150,Kevin Foster,,,,
151,Jerome Mayhew ,,,,
152,Felicity Buchan,,,,
153,Chris Clarkson,,,,
154,Nadhim Zahawi,,,,
155,David Morris,,,,
156,Anna Firth,,,,
157,Ed Argar,,,,
158,Shailesh Vara,,,,
159,Jeremy Hunt,,,,
160,Jonathan Gullis,,,,
161,Pauline Latham,,,,
162,James Duddridge,,,,
163,Alex Burghart,,,,
164,Maria Caulfield,,,,
165,Leo Docherty,,,,
166,James Cleverly,,,,
167,Robert Courts,,,,
168,Scott Mann,,,,
169,Michael Gove,,,,
170,Priti Patel,,,,
171,John Whittingdale,,,,
172,Danny Kruger,,,,
173,Mark Spencer,,,,
174,Victoria Atkins,,,,
175,Louie French,,,,
176,Andrew Stephenson,,,,
177,Tom Randall,,,,
178,Robert Buckland,,,,
179,Peter Aldous,,,,
180,Simon Clarke,,,,
181,Richard Fuller,,,,
182,Gordon Henderson,,,,
183,Jason McCartney,,,,
184,Andrew Griffith,,,,
185,Lucy Allan,,,,
186,Virginia Crosbie,,,,
187,Mims Davies,,,,
188,Brandon Lewis,,,,
189,Chris Heaton-Harris,,,,
190, ,,,,
191, ,,,,
192, ,,,,
193, ,,,,
194, ,,,,
195,,,,,
196,,,,,
197,,,,,
198,,,,,
199,,,,,
200,,,,,
