,COMPILED BY @PATRICKJFL,,,,,,,,,,,,,,,,,,,
ID,MP,Party,,Constituency,Endorsed,Source,2022 (final 3),2022 (initial),2019,MP since,Paid role in Johnson gov (2019-),Brexit position,ERG,Party political compass,2017-22 gain from LAB,LDM 2nd?,Majority,Constituency Brexit %,Constituency Brexit group,"Please add endorsements if you see them with
CTRL + ALT + M"
111,Michael Fabricant,,Conservative,Lichfield,Johnson,https://conservativehome.com/2022/10/20/next-tory-leader-which-mp-is-backing-whom-sunak-in-front-johnson-a-close-second-with-mordaunt-a-distant-third/,Mordaunt,Mordaunt,Gove,1992,No,Leave,Yes,Lib Right,,,44%,58%,Mid Leave,
215,Marco Longhi,,Conservative,Dudley North,Johnson,https://conservativehome.com/2022/10/20/next-tory-leader-which-mp-is-backing-whom-sunak-in-front-johnson-a-close-second-with-mordaunt-a-distant-third/,Truss,Badenoch,-,2019,No,Leave,Yes,Auth Right,Yes,,31%,71%,Heavy Leave,
42,Paul Bristow,,Conservative,Peterborough,Johnson,https://conservativehome.com/2022/10/20/next-tory-leader-which-mp-is-backing-whom-sunak-in-front-johnson-a-close-second-with-mordaunt-a-distant-third/,Truss,Shapps,-,2019,No,?,Yes,Auth Right,Yes,,5%,63%,Heavy Leave,
17,Shaun Bailey,,Conservative,West Bromwich West,Johnson,https://conservativehome.com/2022/10/20/next-tory-leader-which-mp-is-backing-whom-sunak-in-front-johnson-a-close-second-with-mordaunt-a-distant-third/,Truss,Truss,-,2019,No,?,,Auth Right,Yes,,11%,69%,Heavy Leave,
32,Peter Bone,,Conservative,Wellingborough,Johnson,https://conservativehome.com/2022/10/20/next-tory-leader-which-mp-is-backing-whom-sunak-in-front-johnson-a-close-second-with-mordaunt-a-distant-third/,Truss,Truss,Johnson,2005,No,Leave,,Auth Left,,,36%,63%,Heavy Leave,
59,Christopher Chope,,Conservative,Christchurch,Johnson,https://conservativehome.com/2022/10/20/next-tory-leader-which-mp-is-backing-whom-sunak-in-front-johnson-a-close-second-with-mordaunt-a-distant-third/,Truss,Truss,-,1997,No,Leave,Yes,Auth Left,,Yes,47%,60%,Mid Leave,
64,Brendan Clarke-Smith,,Conservative,Bassetlaw,Johnson,https://conservativehome.com/2022/10/20/next-tory-leader-which-mp-is-backing-whom-sunak-in-front-johnson-a-close-second-with-mordaunt-a-distant-third/,Truss,Truss,-,2019,No,?,Yes,Auth Right,Yes,,28%,68%,Heavy Leave,
91,Nadine Dorries,,Conservative,Mid Bedfordshire,Johnson,https://conservativehome.com/2022/10/20/next-tory-leader-which-mp-is-backing-whom-sunak-in-front-johnson-a-close-second-with-mordaunt-a-distant-third/,Truss,Truss,Johnson,2005,Yes,Leave,,Auth Left,,,38%,53%,Soft Leave,
97,James Duddridge,,Conservative,Rochford and Southend East,Johnson,https://conservativehome.com/2022/10/20/next-tory-leader-which-mp-is-backing-whom-sunak-in-front-johnson-a-close-second-with-mordaunt-a-distant-third/,Truss,Truss,Johnson,2005,Yes,Leave,Yes,Lib Right,,,27%,61%,Mid Leave,
145,James Grundy,,Conservative,Leigh,Johnson,https://conservativehome.com/2022/10/20/next-tory-leader-which-mp-is-backing-whom-sunak-in-front-johnson-a-close-second-with-mordaunt-a-distant-third/,Truss,Truss,-,2019,No,?,,Auth Right,Yes,,4%,63%,Heavy Leave,
184,Andrea Jenkyns,,Conservative,Morley and Outwood,Johnson,https://conservativehome.com/2022/10/20/next-tory-leader-which-mp-is-backing-whom-sunak-in-front-johnson-a-close-second-with-mordaunt-a-distant-third/,Truss,Truss,Raab,2015,Yes,Leave,Yes,Auth Right,,,22%,60%,Mid Leave,
233,Stephen McPartland,,Conservative,Stevenage,Johnson,https://conservativehome.com/2022/10/20/next-tory-leader-which-mp-is-backing-whom-sunak-in-front-johnson-a-close-second-with-mordaunt-a-distant-third/,Truss,Truss,Johnson,2010,No,Leave,Yes,Auth Left,,,18%,57%,Mid Leave,
