date,Rishi Sunak,Boris Johnson,Penny Mordaunt
2022-10-23 21:02:53,158,57,27
2022-10-23 20:58:25,157,58,27
2022-10-23 20:48:53,155,59,27
2022-10-23 20:36:54,155,60,26
2022-10-23 20:22:40,153,62,26
2022-10-23 18:26:52,150,62,26
2022-10-23 18:00:37,149,62,26
2022-10-23 16:03:16,149,63,26
2022-10-23 13:51:03,148,62,26
2022-10-23 12:25:40,146,61,26
2022-10-23 11:32:14,144,61,26
2022-10-23 11:20:30,140,61,26
2022-10-22 20:53:50,130,60,25
2022-10-22 20:43:13,130,58,25
2022-10-22 19:27:50,128,58,25
2022-10-22 19:15:02,127,58,25
2022-10-22 18:38:50,126,58,25
2022-10-22 18:22:25,126,57,25
2022-10-22 13:11:12,116,54,23
2022-10-22 12:50:55,114,54,23
2022-10-22 12:28:10,112,54,23
2022-10-22 11:43:57,111,54,23
2022-10-22 11:33:54,106,54,23
2022-10-22 10:59:23,105,54,23
2022-10-22 10:50:07,105,54,22
2022-10-22 10:37:53,101,53,22
2022-10-21 21:46:44,97,52,22
2022-10-21 21:35:26,97,51,22
2022-10-21 21:09:34,96,51,22
2022-10-21 20:59:02,95,51,22
2022-10-21 20:50:20,92,51,22
2022-10-21 20:23:47,90,51,22
2022-10-21 17:03:42,84,48,21
2022-10-21 16:23:54,82,48,21
2022-10-21 15:55:27,81,47,21
2022-10-21 15:40:40,80,47,19
2022-10-21 15:23:22,79,47,19
2022-10-21 15:08:30,78,47,19
2022-10-21 14:55:28,76,47,18
2022-10-21 14:39:23,73,46,18
2022-10-21 14:20:50,72,46,18
2022-10-21 13:56:39,68,45,18
2022-10-21 13:31:29,65,45,18
2022-10-21 13:05:00,58,44,18
2022-10-21 11:59:53,57,41,18
